C-O Distance,force_diff_CI,n_structs_in_CI,relative_free_energy_CI,
3.57,-0.121701699,530,0.673201805,
3.58,-0.169171352,559,0.67465617,
3.59,-0.206118276,573,0.676532619,
3.6,-0.229422665,578,0.678710323,
3.61,-0.265950275,548,0.681187188,
3.62,-0.36444528,481,0.684339166,
3.63,-0.437527892,446,0.688349032,
3.64,-0.478311106,427,0.692928227,
3.65,-0.495315525,408,0.69779636,
3.66,-0.503030164,393,0.702788088,
3.67,-0.511512192,370,0.7078608,
3.68,-0.52910339,327,0.713063878,
3.69,-0.53415618,304,0.718380176,
3.7,-0.517962198,299,0.723640768,
3.71,-0.524839311,305,0.728854775,
3.72,-0.509144956,306,0.734024697,
3.73,-0.577499696,319,0.73945792,
3.74,-0.675234915,325,0.745721593,
3.75,-0.705397505,319,0.752624755,
3.76,-0.734328303,296,0.759823384,
3.77,-0.717833574,264,0.767084193,
3.78,-0.710100288,242,0.774223863,
3.79,-0.703993582,221,0.781294332,
3.8,-0.807214428,183,0.788850372,
3.81,-0.895887279,149,0.797365881,
